team_name_complet,team_name,year,week,weekly_attendance,team,wins,loss,points_for,points_against,points_differential,playoffs,sb_winner
Arizona Cardinals,Cardinals,2000,1,77434.0,Arizona,3,13,210,443,-233,No Playoffs,No Superbowl
Arizona Cardinals,Cardinals,2000,2,66009.0,Arizona,3,13,210,443,-233,No Playoffs,No Superbowl
Arizona Cardinals,Cardinals,2000,3,,Arizona,3,13,210,443,-233,No Playoffs,No Superbowl
Arizona Cardinals,Cardinals,2000,4,71801.0,Arizona,3,13,210,443,-233,No Playoffs,No Superbowl
Arizona Cardinals,Cardinals,2000,5,66985.0,Arizona,3,13,210,443,-233,No Playoffs,No Superbowl
Arizona Cardinals,Cardinals,2000,6,44296.0,Arizona,3,13,210,443,-233,No Playoffs,No Superbowl
Arizona Cardinals,Cardinals,2000,7,38293.0,Arizona,3,13,210,443,-233,No Playoffs,No Superbowl
Arizona Cardinals,Cardinals,2000,8,62981.0,Arizona,3,13,210,443,-233,No Playoffs,No Superbowl
Arizona Cardinals,Cardinals,2000,9,35286.0,Arizona,3,13,210,443,-233,No Playoffs,No Superbowl
Arizona Cardinals,Cardinals,2000,10,52244.0,Arizona,3,13,210,443,-233,No Playoffs,No Superbowl
Arizona Cardinals,Cardinals,2000,11,64223.0,Arizona,3,13,210,443,-233,No Playoffs,No Superbowl
Arizona Cardinals,Cardinals,2000,12,65356.0,Arizona,3,13,210,443,-233,No Playoffs,No Superbowl
Arizona Cardinals,Cardinals,2000,13,42094.0,Arizona,3,13,210,443,-233,No Playoffs,No Superbowl
Arizona Cardinals,Cardinals,2000,14,50289.0,Arizona,3,13,210,443,-233,No Playoffs,No Superbowl
Arizona Cardinals,Cardinals,2000,15,53472.0,Arizona,3,13,210,443,-233,No Playoffs,No Superbowl
Arizona Cardinals,Cardinals,2000,16,37452.0,Arizona,3,13,210,443,-233,No Playoffs,No Superbowl
Arizona Cardinals,Cardinals,2000,17,65711.0,Arizona,3,13,210,443,-233,No Playoffs,No Superbowl
Atlanta Falcons,Falcons,2000,1,54626.0,Atlanta,4,12,252,413,-161,No Playoffs,No Superbowl
Atlanta Falcons,Falcons,2000,2,75466.0,Atlanta,4,12,252,413,-161,No Playoffs,No Superbowl
Atlanta Falcons,Falcons,2000,3,73025.0,Atlanta,4,12,252,413,-161,No Playoffs,No Superbowl
Atlanta Falcons,Falcons,2000,4,58761.0,Atlanta,4,12,252,413,-161,No Playoffs,No Superbowl
Atlanta Falcons,Falcons,2000,5,65424.0,Atlanta,4,12,252,413,-161,No Playoffs,No Superbowl
Atlanta Falcons,Falcons,2000,6,50947.0,Atlanta,4,12,252,413,-161,No Playoffs,No Superbowl
Atlanta Falcons,Falcons,2000,7,66019.0,Atlanta,4,12,252,413,-161,No Playoffs,No Superbowl
Atlanta Falcons,Falcons,2000,8,56508.0,Atlanta,4,12,252,413,-161,No Playoffs,No Superbowl
Atlanta Falcons,Falcons,2000,9,46178.0,Atlanta,4,12,252,413,-161,No Playoffs,No Superbowl
Atlanta Falcons,Falcons,2000,10,70097.0,Atlanta,4,12,252,413,-161,No Playoffs,No Superbowl
Atlanta Falcons,Falcons,2000,11,74309.0,Atlanta,4,12,252,413,-161,No Playoffs,No Superbowl
Atlanta Falcons,Falcons,2000,12,67447.0,Atlanta,4,12,252,413,-161,No Playoffs,No Superbowl
Atlanta Falcons,Falcons,2000,13,55175.0,Atlanta,4,12,252,413,-161,No Playoffs,No Superbowl
Atlanta Falcons,Falcons,2000,14,44680.0,Atlanta,4,12,252,413,-161,No Playoffs,No Superbowl
Atlanta Falcons,Falcons,2000,15,,Atlanta,4,12,252,413,-161,No Playoffs,No Superbowl
Atlanta Falcons,Falcons,2000,16,64900.0,Atlanta,4,12,252,413,-161,No Playoffs,No Superbowl
Atlanta Falcons,Falcons,2000,17,41017.0,Atlanta,4,12,252,413,-161,No Playoffs,No Superbowl
Baltimore Ravens,Ravens,2000,1,55049.0,Baltimore,12,4,333,165,168,Playoffs,Won Superbowl
Baltimore Ravens,Ravens,2000,2,68843.0,Baltimore,12,4,333,165,168,Playoffs,Won Superbowl
Baltimore Ravens,Ravens,2000,3,73464.0,Baltimore,12,4,333,165,168,Playoffs,Won Superbowl
Baltimore Ravens,Ravens,2000,4,68481.0,Baltimore,12,4,333,165,168,Playoffs,Won Superbowl
Baltimore Ravens,Ravens,2000,5,73018.0,Baltimore,12,4,333,165,168,Playoffs,Won Superbowl
Baltimore Ravens,Ravens,2000,6,65194.0,Baltimore,12,4,333,165,168,Playoffs,Won Superbowl
Baltimore Ravens,Ravens,2000,7,83252.0,Baltimore,12,4,333,165,168,Playoffs,Won Superbowl
Baltimore Ravens,Ravens,2000,8,69200.0,Baltimore,12,4,333,165,168,Playoffs,Won Superbowl
Baltimore Ravens,Ravens,2000,9,69405.0,Baltimore,12,4,333,165,168,Playoffs,Won Superbowl
Baltimore Ravens,Ravens,2000,10,54759.0,Baltimore,12,4,333,165,168,Playoffs,Won Superbowl
Baltimore Ravens,Ravens,2000,11,68490.0,Baltimore,12,4,333,165,168,Playoffs,Won Superbowl
Baltimore Ravens,Ravens,2000,12,69416.0,Baltimore,12,4,333,165,168,Playoffs,Won Superbowl
Baltimore Ravens,Ravens,2000,13,68361.0,Baltimore,12,4,333,165,168,Playoffs,Won Superbowl
Baltimore Ravens,Ravens,2000,14,,Baltimore,12,4,333,165,168,Playoffs,Won Superbowl
Baltimore Ravens,Ravens,2000,15,68805.0,Baltimore,12,4,333,165,168,Playoffs,Won Superbowl
Baltimore Ravens,Ravens,2000,16,37452.0,Baltimore,12,4,333,165,168,Playoffs,Won Superbowl
Baltimore Ravens,Ravens,2000,17,69184.0,Baltimore,12,4,333,165,168,Playoffs,Won Superbowl
Buffalo Bills,Bills,2000,1,72492.0,Buffalo,8,8,315,350,-35,No Playoffs,No Superbowl
Buffalo Bills,Bills,2000,2,77722.0,Buffalo,8,8,315,350,-35,No Playoffs,No Superbowl
Buffalo Bills,Bills,2000,3,77884.0,Buffalo,8,8,315,350,-35,No Playoffs,No Superbowl
Buffalo Bills,Bills,2000,4,,Buffalo,8,8,315,350,-35,No Playoffs,No Superbowl
Buffalo Bills,Bills,2000,5,72617.0,Buffalo,8,8,315,350,-35,No Playoffs,No Superbowl
Buffalo Bills,Bills,2000,6,73901.0,Buffalo,8,8,315,350,-35,No Playoffs,No Superbowl
Buffalo Bills,Bills,2000,7,72351.0,Buffalo,8,8,315,350,-35,No Playoffs,No Superbowl
Buffalo Bills,Bills,2000,8,64116.0,Buffalo,8,8,315,350,-35,No Playoffs,No Superbowl
Buffalo Bills,Bills,2000,9,72861.0,Buffalo,8,8,315,350,-35,No Playoffs,No Superbowl
Buffalo Bills,Bills,2000,10,60292.0,Buffalo,8,8,315,350,-35,No Playoffs,No Superbowl
Buffalo Bills,Bills,2000,11,72420.0,Buffalo,8,8,315,350,-35,No Playoffs,No Superbowl
Buffalo Bills,Bills,2000,12,78457.0,Buffalo,8,8,315,350,-35,No Playoffs,No Superbowl
Buffalo Bills,Bills,2000,13,65546.0,Buffalo,8,8,315,350,-35,No Playoffs,No Superbowl
Buffalo Bills,Bills,2000,14,73002.0,Buffalo,8,8,315,350,-35,No Playoffs,No Superbowl
Buffalo Bills,Bills,2000,15,56671.0,Buffalo,8,8,315,350,-35,No Playoffs,No Superbowl
Buffalo Bills,Bills,2000,16,47230.0,Buffalo,8,8,315,350,-35,No Playoffs,No Superbowl
Buffalo Bills,Bills,2000,17,61025.0,Buffalo,8,8,315,350,-35,No Playoffs,No Superbowl
Carolina Panthers,Panthers,2000,1,80257.0,Carolina,7,9,310,310,0,No Playoffs,No Superbowl
Carolina Panthers,Panthers,2000,2,66879.0,Carolina,7,9,310,310,0,No Playoffs,No Superbowl
Carolina Panthers,Panthers,2000,3,73025.0,Carolina,7,9,310,310,0,No Playoffs,No Superbowl
Carolina Panthers,Panthers,2000,4,,Carolina,7,9,310,310,0,No Playoffs,No Superbowl
Carolina Panthers,Panthers,2000,5,73310.0,Carolina,7,9,310,310,0,No Playoffs,No Superbowl
Carolina Panthers,Panthers,2000,6,72192.0,Carolina,7,9,310,310,0,No Playoffs,No Superbowl
Carolina Panthers,Panthers,2000,7,50015.0,Carolina,7,9,310,310,0,No Playoffs,No Superbowl
Carolina Panthers,Panthers,2000,8,73169.0,Carolina,7,9,310,310,0,No Playoffs,No Superbowl
Carolina Panthers,Panthers,2000,9,46178.0,Carolina,7,9,310,310,0,No Playoffs,No Superbowl
Carolina Panthers,Panthers,2000,10,66048.0,Carolina,7,9,310,310,0,No Playoffs,No Superbowl
Carolina Panthers,Panthers,2000,11,72981.0,Carolina,7,9,310,310,0,No Playoffs,No Superbowl
Carolina Panthers,Panthers,2000,12,64208.0,Carolina,7,9,310,310,0,No Playoffs,No Superbowl
Carolina Panthers,Panthers,2000,13,73295.0,Carolina,7,9,310,310,0,No Playoffs,No Superbowl
Carolina Panthers,Panthers,2000,14,73358.0,Carolina,7,9,310,310,0,No Playoffs,No Superbowl
Carolina Panthers,Panthers,2000,15,77481.0,Carolina,7,9,310,310,0,No Playoffs,No Superbowl
Carolina Panthers,Panthers,2000,16,72159.0,Carolina,7,9,310,310,0,No Playoffs,No Superbowl
Carolina Panthers,Panthers,2000,17,60637.0,Carolina,7,9,310,310,0,No Playoffs,No Superbowl
Chicago Bears,Bears,2000,1,64104.0,Chicago,5,11,216,355,-139,No Playoffs,No Superbowl
Chicago Bears,Bears,2000,2,65569.0,Chicago,5,11,216,355,-139,No Playoffs,No Superbowl
Chicago Bears,Bears,2000,3,66944.0,Chicago,5,11,216,355,-139,No Playoffs,No Superbowl
Chicago Bears,Bears,2000,4,66944.0,Chicago,5,11,216,355,-139,No Playoffs,No Superbowl
Chicago Bears,Bears,2000,5,59869.0,Chicago,5,11,216,355,-139,No Playoffs,No Superbowl
Chicago Bears,Bears,2000,6,66944.0,Chicago,5,11,216,355,-139,No Playoffs,No Superbowl
Chicago Bears,Bears,2000,7,66944.0,Chicago,5,11,216,355,-139,No Playoffs,No Superbowl
Chicago Bears,Bears,2000,8,65553.0,Chicago,5,11,216,355,-139,No Playoffs,No Superbowl
Chicago Bears,Bears,2000,9,,Chicago,5,11,216,355,-139,No Playoffs,No Superbowl
Chicago Bears,Bears,2000,10,66944.0,Chicago,5,11,216,355,-139,No Playoffs,No Superbowl
Chicago Bears,Bears,2000,11,72420.0,Chicago,5,11,216,355,-139,No Playoffs,No Superbowl
Chicago Bears,Bears,2000,12,66944.0,Chicago,5,11,216,355,-139,No Playoffs,No Superbowl
Chicago Bears,Bears,2000,13,77354.0,Chicago,5,11,216,355,-139,No Playoffs,No Superbowl
Chicago Bears,Bears,2000,14,66944.0,Chicago,5,11,216,355,-139,No Playoffs,No Superbowl
Chicago Bears,Bears,2000,15,66944.0,Chicago,5,11,216,355,-139,No Playoffs,No Superbowl
Chicago Bears,Bears,2000,16,68306.0,Chicago,5,11,216,355,-139,No Playoffs,No Superbowl
Chicago Bears,Bears,2000,17,71957.0,Chicago,5,11,216,355,-139,No Playoffs,No Superbowl
Cincinnati Bengals,Bengals,2000,1,,Cincinnati,4,12,185,359,-174,No Playoffs,No Superbowl
Cincinnati Bengals,Bengals,2000,2,64006.0,Cincinnati,4,12,185,359,-174,No Playoffs,No Superbowl
